run_id,job_id,date,workflow,job_name,attributed_check,branch
31730375523,94549067768,2026-08-13,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 1.",dependabot/cargo/ntlm-crypto-9163761ad5
31730375523,94549067772,2026-08-13,CI,clippy,==> clippy: host crates + xtask,dependabot/cargo/ntlm-crypto-9163761ad5
31730375523,94549067826,2026-08-13,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,dependabot/cargo/ntlm-crypto-9163761ad5
31730375523,94549067996,2026-08-13,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 sifive-u54 rva22s64 rva23s64 thead-c906,dependabot/cargo/ntlm-crypto-9163761ad5
31742353306,94588584110,2026-08-13,CI,clippy,==> roadmap status,decisions/82-83-thesis-and-rust-first
31742676594,94589658379,2026-08-13,CI,clippy,==> roadmap status,decisions/82-83-thesis-and-rust-first
31743657642,94592864988,2026-08-13,CI,clippy,==> roadmap status,decisions/82-83-thesis-and-rust-first
31744497287,94595625280,2026-08-13,CI,clippy,==> decisions,roadmap/121-ripgrep-and-enumeration
31747816813,94606454155,2026-08-13,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,dependabot/cargo/ntlm-crypto-9163761ad5
31762371197,94651242503,2026-08-14,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) thead-c906,milestone/119-merge-throughput
31831157981,94866988053,2026-08-14,CI,bench (icount regression tripwire),icount tripwire: benchmark: map_new,fix/vf2-s7-supervisorless
31837118533,94885769602,2026-08-14,CI,bench (icount regression tripwire),icount tripwire: benchmark: map_new,fix/vf2-kmap-and-initrd
31843209591,94904341549,2026-08-14,CI,bench (icount regression tripwire),icount tripwire: benchmark: map_new,fix/vf2-remote-fence-i
31844845554,94909054716,2026-08-14,CI,bench (icount regression tripwire),icount tripwire: benchmark: map_new,fix/vf2-remote-fence-i
31846255028,94913202959,2026-08-14,CI,bench (icount regression tripwire),icount tripwire: benchmark: map_new,fix/online-set-sweep
31847807573,94917684279,2026-08-14,CI,bench (icount regression tripwire),icount tripwire: benchmark: map_new,fix/online-set-sweep
31847807573,94917684547,2026-08-14,CI,clippy,==> naming conventions,fix/online-set-sweep
31848721795,94920259666,2026-08-14,CI,clippy,==> naming conventions,fix/boot7-blocked-pc
31854822587,94937466647,2026-08-15,CI,bench (icount regression tripwire),icount tripwire: benchmark: map_new,fix/vf2-s7-supervisorless
31855680380,94941707448,2026-08-15,CI,bench (icount regression tripwire),icount tripwire: benchmark: map_new,fix/vf2-s7-supervisorless
31856685333,94942663165,2026-08-15,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,fix/vf2-s7-supervisorless
31856685333,94942663230,2026-08-15,CI,bench (icount regression tripwire),icount tripwire: benchmark: map_new,fix/vf2-s7-supervisorless
31858736222,94948111424,2026-08-15,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,fix/architect-referent-calef
31868046989,94972132543,2026-08-15,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) thead-c906,milestone/53-nvme-driver
31868919364,94974342733,2026-08-15,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,main
31891747345,95028960198,2026-08-15,CI,clippy,==> clippy: kernel --features shell (riscv64imac-unknown-none-elf),integration/milestone-120-nife
31909078888,95071347298,2026-08-15,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) thead-c906,feature/mascot-record
31910351384,95074355073,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-205-b4a842b763dffc45ccdd30a81057756a0fa1b8c8
31910351689,95074355968,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-207-4c8681f7cc372a1b27ca71069622f4a8d597f505
31910351816,95074356280,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-209-3eb9d38209810a14af71213ef00793f8f8bd4854
31910372291,95074409106,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-211-8cc2cd5b13ed6175a9eb84c92e6492e465f44c99
31910586237,95074913300,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-207-b4a842b763dffc45ccdd30a81057756a0fa1b8c8
31910586859,95074914777,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-209-cdfa55d07eb7fc1c2f0bccd3dac60ca565619d07
31910587048,95074915042,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-211-ebf8b331c88d5cd7550c2e976a39b0cf5846c1da
31910905505,95075668651,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-204-65592ac07cb2109e2c3b5add5fc618d82ff7e954
31910971804,95075822501,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-209-b4a842b763dffc45ccdd30a81057756a0fa1b8c8
31910972091,95075821887,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-211-400bfd6dc5c3910dbd54d3f736aee7663c20fba5
31910972946,95075823902,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-204-42aa902468042e2b2a3f63d778210b3baf46de1d
31911198295,95076396755,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-208-750fe8bfeb7e8ac6363e7f06ab82df70756283f4
